Тип_наблюдения;ФИО;Категория_наблюдения;Организация;Какие_возможные_последствия_наблюдения_или_преимущества_хорошей_практики_/_вашего_предложения?;Какие_меры_вы_предприняли?;Производилась_ли_остановка_работ?;Какие_действия_вы_предприняли_для_поощрения_хорошей_практики?;Обсудили_ли_вы_небезопасное_действие_/_небезопасное_поведение_с_наблюдаемым?;Сообщили_ли_ответственному_лицу?;Кому_вы_сообщили_о_наблюдении?_(Обязательно_к_заполнению_для_небезопасного_действия/_небезопасного_поведения/опасного_фактора_/_опасного_случая);Было_ли_небезопасное_условие_/_поведение_исправлено_и_опасность_устранена?;Дата_Время
Опасный фактор;Нарциссов Астрон Георгинович;Падающие предметы, Проскальзывание / Спотыкание / Падение;"ТОО ""Бархатный Тюльпан""";ЗУ-89б АБ есігі топсадан сынған;ТҚ шеберіне айтылды;False;Шеберге айтылды;True;True;Шеберге;False;2025-03-19 16:00:00.000
Опасный фактор;Лотосов Сакур Камелиевич;Взрыво- и пожароопасность, Опасные вещества/сероводород, Целостность объекта / Оборудования;"ТОО ""Алый Тюльпан""";ЗУ-54в қазанында қысым көрсету аспабы жоқ.;ТҚ шеберіне айтылды;False;Шеберіне айтылды;True;True;ТҚ шеберіне;False;2025-03-11 14:00:00.000
Опасный фактор;Нарциссов Камелий Азалиевич;Опасные вещества/сероводород, Целостность объекта / Оборудования, Взрыво- и пожароопасность;"ТОО ""Белая Роза""";ЗУ-84г ПСМ-нен кейін қысым өлшегіш аспабы жоқ;ТҚ шебері;False;Шеберге айтылды;False;True;Шеберге;False;2025-03-03 20:00:00.000
Небезопасное поведение;Камелиев Виолан Азалиевич;Выполнение требований инструкций, СИЗ / Средства по обеспечению безопасности;"ТОО ""Золотая Лилия""";Работник при работе на территорий завода не носил противогаз с собой;проводил беседу безопасным приемам и методом  производство работ;False;проводил беседу безопасным приемам и методом  производство работ;True;True;Начальнику цеха;False;2025-06-02 19:00:00.000
Опасный случай;Гортензиев Розан Лавандович;Целостность объекта / Оборудования;"ТОО ""Лавандовый Рассвет""";БКНС требуется деревянные подклудка с диэлектрическими резиновым поликами ;Шеберге айтылды;False;Шеберге айтылды;True;True;Шеберге;False;2025-03-19 21:00:00.000
Хорошая практика;Мелиссов Хризантем Орхидеевич;Вывешивание плакатов, Вождение;"ТОО ""Синяя Орхидея""";djsjsj;smsm;True;sjsj;True;False;snan;True;2025-06-03 23:02:00.000
Небезопасное действие;Флоров Лаврентий Мелиссович;СИЗ / Средства по обеспечению безопасности;"ТОО ""Пурпурный Ирис""";"Один из членов бригады подрядной организаций ТОО ""BAYKAZ-CONSTRUCTION"" при работе не использовал защитную каску. ";Работа приостановлена. ;True;Нет данных;True;True;"Мастеру ТОО ""BAYKAZ-CONSTRUCTION""";True;2025-05-30 15:30:00.000
Хорошая практика;Вербенов Сакур Астрович;Опасные природные явления / Погодные условия;"ТОО ""Нежная Фиалка""";Погодные условия;Не предпринято;False;Нет;False;False;Начальнику участка;False;2025-06-05 19:29:00.000
Опасный фактор;Орхидеев Виолан Орхидеевич;Выполнение требований инструкций;"ТОО ""Солнечный Подсолнух""";znzn;xkzks;True;;True;False;,mmz;True;2025-06-03 23:01:00.000
Хорошая практика;Нарциссов Тюльпан Жасминович;Вывешивание плакатов, Вождение;"ТОО ""Весенний Пион""";euwu;ejwjj;True;3ueuwj;True;True;fjdjs;True;2025-06-03 23:15:00.000
